id	isolate	aliases	country	year	serotype	Sp_cgc_1000
918	99S832		Australia	1999	23F	
919	98S091		Australia	1999	6B	
920	98S221		Australia	1998	6B	
921	98S296		Australia	1998	6B	
922	98S471		Australia	1998	6B	
923	98S472		Australia	1998	6B	
924	98S115		Australia	1998	6B	
925	99S178		Australia	1998	6B	
926	99S253		Australia	1998	6B	
927	98S409		Australia	1998	NT	
928	99S851		Australia	1999	19F	
929	98S336		Australia	1999	19A	
930	99S233		Australia	1999	19F	
931	99S403		Australia	1999	19F	
932	99S407		Australia	1999		
933	2-20.6A		UK [England]	2000	6A	
934	54-10.6A		UK [England]	2000	6A	
935	67-12.6A		UK [England]	2000	6A	
936	87-14.6A		UK [England]	2000	6A	
937	97-14.6A		UK [England]	2000	6A	
938	43-24.6B		UK [England]	2000	6B	
939	44-16.6B		UK [England]	2000	6B	
940	44-24.6B		UK [England]	2000	6B	
941	50-12.6B		UK [England]	2000	6B	
942	58-16.6B		UK [England]	2000	6B	
943	11-18.8		UK [England]	2000	8	
944	74-12.9N		UK [England]	2000	9N	
945	15-5.9V		UK [England]	2000	9V	
946	98-22.9V		UK [England]	2000	9V	
947	85-14.11A		UK [England]	2000	11A	
948	28-8.14		UK [England]	2000	14	
949	98-12.15A		UK [England]	2000	15A	
950	27-10.15B		UK [England]	2000	15B	
951	51-12.15B		UK [England]	2000	15B	
952	88-16.15B		UK [England]	2000	15B	
953	9-4.16F		UK [England]	2000	16F	
954	25-16.19A		UK [England]	2000	19A	
955	36-3.19A		UK [England]	2000	19A	
956	66-4.19A		UK [England]	2000	19A	
957	74-20.19A		UK [England]	2000	19A	
958	95-22.19A		UK [England]	2000	19A	
959	2-10.19F		UK [England]	2000	19F	
960	5-16.19F		UK [England]	2000	19F	
961	17.18.19F		UK [England]	2000	19F	
962	36-14.19F		UK [England]	2000	19F	
963	37-14.19F		UK [England]	2000	19F	
964	54-4.19F		UK [England]	2000	19F	
965	90-22.19F		UK [England]	2000	19F	
966	98-20.19F		UK [England]	2000	19F	
967	49-5.20		UK [England]	2000	20	
968	2-8.21		UK [England]	2000	21	
969	14-10.21		UK [England]	2000	21	
970	17-14.21		UK [England]	2000	21	
971	28-10.21		UK [England]	2000	21	
972	2-14.22F		UK [England]	2000	22F	
973	23-6.22F		UK [England]	2000	22F	
974	2-24.23A		UK [England]	2000	23A	
975	35-5.23A		UK [England]	2000	23A	
976	66-14.23A		UK [England]	2000	23A	
977	81-4.23A		UK [England]	2000	23A	
978	44-12.23B		UK [England]	2000	23B	
979	38-14.23F		UK [England]	2000	23F	
980	38-20.23F		UK [England]	2000	23F	
981	45-16.23F		UK [England]	2000	23F	
982	74-14.27		UK [England]	2000	27	
983	24-18.31		UK [England]	2000	31	
984	53-24.33F		UK [England]	2000	33F	
985	27-16.35F		UK [England]	2000	35F	
986	24-22.37		UK [England]	2000	37	
987	25-6.NT		UK [England]	2000	NT	
988	25-14.NT		UK [England]	2000	NT	
989	28-4.19A	OXC1151	UK [England]	2000	19A	
990	PN76		Italy	1998	24F	
991	1894-00		USA	1999	35B	
992	6361-99		USA	1999	35B	
993	926-01		USA	2000	35B	
994	5700-01		USA	2001	35B	
995	1464-00		USA	1999	35B	
996	OXC243		UK [England]	1994	23F	
997	OXC249	70A/3	UK [England]	1994	23F	
998	OXC215	18A/5	UK [England]	1994	23F	
999	OXC93	29/2	UK [England]	1999	11A	
1000	INV634	634	UK [England]	1997	6A	
1001	INV333	333	UK [England]	1999	3	
1002	oxc264	162a/3	UK [England]	1994	19F	
1003	INV1001	1001	UK [England]	1998	6A	
1004	OXC216	21A/2	UK [England]	1994	10A	
1005	OXC266	101A/3	UK [England]	1994	19F	
1006	OXC127	10-18.6B	UK [England]	1998	6B	
1007	INV358	358	UK [England]	1994	9V	
1008	INV1889	1889	UK [England]	2001	6B	
