id	isolate	aliases	country	year	serotype	Sp_cgc_1000
480	GM145-23F	GM145	Spain	1989	23F	
481	VA79-19A	VA79	Spain	1994	19A	
482	SJD86-19A	SJD86	Spain	1994	19A	
483	PO329-19F		Poland		19F	
484	C85-19F	C85	Spain	1994	19F	
485	SP496-19F	496	Spain	1994	19F	
486	VA91-19F	VA91	Spain	1994	19F	
487	VA95-19F	VA95	Spain	1994	19F	
488	VH17-14	VH17	Spain	1990	14	
489	SP681-6B		Spain	1986	6B	
490	MS10-6B	MS10	Spain	1989	6B	
491	GM41-6B	GM41	Spain	1988	6B	
492	T8-6B	T8	Spain	1989	6B	
493	GM121-6B	GM121	Spain	1989	6B	
494	NSM2-6A	NSM2	Spain	1989	6A	
495	VH18-14	VH18	Spain	1990	14	
496	VH20-14	VH20	Spain	1990	14	
497	MS21-14	MS21	Spain	1990	14	
498	MS22-14	MS22	Spain	1990	14	
499	B12-14	B12	Spain	1992	14	
500	GM23-14	GM23	Spain	1993	14	
